,length,highway,shadow,thermal comfort area/buffer,green_500,uv_cost,traffic_delay,traffic,green,pollution_meter,gradient,elevation_cost,poll_cost,# of intersections /node,intersection,intersection_cost,ux,uy,vx,vy
0,21.861,footway,0.0,0.9343354662482252,0.11593953317690482,0.0,0,0.0,0.15,18.58185,-0.0035489370563238395,0.0,7.43274,3,0,0.0,31.347326,30.0621283,31.3473009,30.0623237
1,11.621,service,0.0,0.9949807647800456,0.11720062298786367,0.0,0,0.0,0.15,9.87785,0.04500561517134561,6.9726,7.902280000000001,3,0,0.0,31.347326,30.0621283,31.3474455,30.0621312
2,29.497,footway,0.0,0.8512329771713314,0.1164190040682368,0.0,0,0.0,0.15,25.07245,-0.0021227392927415387,0.0,10.02898,3,0,0.0,31.3473009,30.0623237,31.347277,30.0624979
3,36.238,footway,0.0,0.6901060864022559,0.11622589749219284,0.0,0,0.0,0.15,30.8023,-0.01456886340769076,0.0,12.320920000000001,3,0,0.0,31.347277,30.0624979,31.3472324,30.0628215
4,34.347,footway,0.0,0.6129123430305276,0.11740072326084876,0.0,0,0.0,0.15,29.19495,0.019734425083407194,6.869400000000001,17.516969999999997,4,1,32.09855172413792,31.3472324,30.0628215,31.347586,30.0628634
5,30.811,footway,0.0,0.515892821825814,0.11794004735343899,0.0,0,0.0,0.15,26.18935,-0.10094096793631803,0.0,0.0,3,0,0.0,31.347586,30.0628634,31.3475286,30.063136
6,155.715,tertiary,0.0,0.33424472539817485,0.11457801153218852,0.0,0,0.0,0.15,132.35775,0.016183831407488695,31.143,79.41465000000001,3,0,0.0,31.3475286,30.063136,31.3491347,30.0633059
7,22.048,tertiary,0.0,0.20252186498049804,0.13363509791722017,0.0,0,0.0,0.15,18.740799999999997,-0.004129935764259692,0.0,7.496319999999999,3,0,0.0,31.3491347,30.0633059,31.3493621,30.06333
8,27.4,tertiary,0.0,0.20698823889316825,0.13277409597419884,0.0,0,0.0,0.15,23.29,0.0167523683422663,5.48,13.973999999999998,3,0,0.0,31.3493621,30.06333,31.3493975,30.0630855
9,20.474,footway,0.0,0.2147176065595683,0.13389684152064096,0.0,0,0.0,0.15,17.4029,-0.01108598648552807,0.0,6.96116,3,0,0.0,31.3493975,30.0630855,31.3496089,30.0631062
10,21.602,tertiary,0.0,0.26554834303140834,0.13372670716868415,0.0,0,0.0,0.15,18.3617,0.018085288665943177,4.3204,11.017019999999999,3,0,0.0,31.3493975,30.0630855,31.3494221,30.0628924
11,83.485,tertiary,0.4,0.11135161740160981,0.12421518877302702,33.394,0,0.0,0.15,70.96225,-0.010693763668482906,0.0,28.384900000000002,3,0,0.0,31.3496089,30.0631062,31.3495004,30.0638511
12,20.32,tertiary,0.8,0.01605161010879073,0.13331470765943082,16.256,0,0.0,0.15,17.272,-0.01907836733840582,0.0,6.908799999999999,3,0,0.0,31.3495004,30.0638511,31.3494739,30.0640324
13,19.826,tertiary,1.0,0.0009692022566442296,0.13250437713152632,19.826,0,0.0,0.15,16.8521,-0.025478006311157066,0.0,6.74084,3,0,0.0,31.3494739,30.0640324,31.3494481,30.0642093
14,19.088,tertiary,1.0,0.0,0.13131346327523324,19.088,0,0.0,0.15,16.224800000000002,-0.025877109217424647,0.0,6.4899200000000015,3,0,0.0,31.3494481,30.0642093,31.3494232,30.0643796
15,20.007,tertiary,1.0,0.0,0.1294570439433407,20.007,0,0.0,0.15,17.005950000000002,-0.005262059036171856,0.0,6.802380000000001,3,0,0.0,31.3494232,30.0643796,31.3493971,30.0645581
